location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"","1","The Shawshank Redemption (1994)","","","","",""
"","2","The Godfather (1972)","","","","",""
"some_location_3","3","The Godfather: Part II (1974)","","","","",""
"some_location_4","4","The Dark Knight (2008)","","","","",""
"some_location_5","5","12 Angry Men (1957)","","","","",""
"some_location_6","6","Schindler's List (1993)","","","","",""
"some_location_7","7","The Lord of the Rings: The Return of the King (2003)","","","","",""
"some_location_8","8","Pulp Fiction (1994)","","","","",""
"","9","The Good, the Bad and the Ugly (1966)","id1","","","",""
"","10","The Lord of the Rings: The Fellowship of the Ring (2001)","id2","","","",""
"","11","Fight Club (1999)","id3","","","",""
"","12","Forrest Gump (1994)","id4","","","",""
"","13","Inception (2010)","","","","",""
"","14","Star Wars: Episode V - The Empire Strikes Back (1980)","","","","",""
"","15","The Lord of the Rings: The Two Towers (2002)","","","","",""
"","16","The Matrix (1999)","","","","",""
"","17","Goodfellas (1990)","","","","",""
"","18","One Flew Over the Cuckoo's Nest (1975)","","","","",""
"","19","Seven Samurai (1954)","","","","",""
"","20","Se7en (1995)","","","","",""